Epoch,Train_MSE,Val_MSE,Learning_Rate
265,6.283246216115545e-08,7.074628501030145e-08,4.665599999999999e-05
266,6.456683666930272e-08,4.14228630462815e-08,4.665599999999999e-05
267,6.09202582952388e-08,3.917230758401844e-08,4.665599999999999e-05
268,6.234751369283506e-08,7.453260169946012e-08,4.665599999999999e-05
269,6.072403952829468e-08,1.8090411259391303e-07,4.665599999999999e-05
270,6.328085021273224e-08,1.7101119758797604e-07,4.665599999999999e-05
271,6.012815928665883e-08,6.238554073619503e-08,4.665599999999999e-05
272,6.596369927534295e-08,1.1846656932122566e-07,4.665599999999999e-05
273,5.995086930667293e-08,4.392031067159984e-08,4.665599999999999e-05
274,6.242181167858535e-08,7.794363400397495e-08,2.7993599999999992e-05
275,3.312686130211066e-08,4.58176803856271e-08,2.7993599999999992e-05
276,3.714827173819833e-08,3.977719383797852e-08,2.7993599999999992e-05
277,3.6934690342520013e-08,2.6189645835780245e-08,2.7993599999999992e-05
278,3.781201663432708e-08,2.975801230411033e-08,2.7993599999999992e-05
279,3.718474903970584e-08,4.3597811704601347e-08,2.7993599999999992e-05
280,3.6280300450200355e-08,2.5463820583751183e-08,2.7993599999999992e-05
281,3.728078640163828e-08,3.300934186264087e-08,2.7993599999999992e-05
282,3.5599163010338516e-08,4.343370501820533e-08,2.7993599999999992e-05
283,3.5801732485177844e-08,3.054997605248821e-08,2.7993599999999992e-05
284,3.630671167050949e-08,4.195028436010693e-08,2.7993599999999992e-05
285,3.6734209175381845e-08,3.456521535498004e-08,2.7993599999999992e-05
286,3.710703435870682e-08,9.335713769199107e-08,2.7993599999999992e-05
287,3.505615836933439e-08,3.175708206842651e-08,2.7993599999999992e-05
288,3.603986918076898e-08,3.817915846059954e-08,2.7993599999999992e-05
289,3.693275254684645e-08,3.222914321185908e-08,2.7993599999999992e-05
290,3.726124043099437e-08,6.02665481058249e-08,2.7993599999999992e-05
291,3.3882385620109544e-08,2.7490543009429006e-08,2.7993599999999992e-05
292,3.603620099040656e-08,3.079143504504591e-08,2.7993599999999992e-05
293,3.54338189560396e-08,2.7846454411615468e-08,2.7993599999999992e-05
294,3.446861923216438e-08,3.490845321736828e-08,2.7993599999999992e-05
295,3.544829325689011e-08,4.31829904958418e-08,2.7993599999999992e-05
296,3.483941832936557e-08,3.519297713797538e-08,1.6796159999999994e-05
297,2.394314083480065e-08,2.0591097652730987e-08,1.6796159999999994e-05
298,2.5664786166553898e-08,3.000596348882504e-08,1.6796159999999994e-05
299,2.4784424146041177e-08,2.6581841075952764e-08,1.6796159999999994e-05
300,2.5024005026598834e-08,2.860471831499901e-08,1.6796159999999994e-05
301,2.491681396668512e-08,2.177449978884533e-08,1.6796159999999994e-05
302,2.5216053148012403e-08,2.4742760577139287e-08,1.6796159999999994e-05
303,2.4311830483072096e-08,2.7225533892056396e-08,1.6796159999999994e-05
304,2.4169758543358013e-08,2.2222524357617198e-08,1.6796159999999994e-05
305,2.467584233925183e-08,2.1581949263548615e-08,1.6796159999999994e-05
306,2.446259866153861e-08,1.67541791775517e-08,1.6796159999999994e-05
