a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.03256859,0.1332822,0.08663343,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-802.36990000000002965,-727.6755000000000564,-790.2501485441338218,-24121.249627366079949,-23979.225239986306406,-24098.205058084920893
0.03258456,0.02115622,0.013751543,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-162.79920000000001323,-143.27819999999999823,-159.6317648486370615,-4860.8980684685775486,-4807.6025338296067275,-4852.2504505275828706
0.03268139,0.1623685,0.10553952500000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-893.41269999999997253,-801.5579000000000178,-878.5085392325488556,-26727.342000331755116,-26548.211575433328107,-26698.276685824206652
0.03270275,0.07605859,0.0494380835,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-540.83169999999995525,-480.52649999999999864,-531.04670894985019913,-16145.093657009743765,-16025.035600794437414,-16125.613297014831915
0.03273723,0.2594292,0.16862898,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1142.1820000000000164,-1024.2429999999999382,-1123.0454734738693787,-34110.641296158770274,-33876.05887278418959,-34072.57846056179551
0.03274136,0.09591253,0.0623431445,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-650.9070000000000391,-586.8976999999999862,-640.52098971189298027,-19449.571221836318728,-19319.26711375614832,-19428.428359672485385
0.03280559,0.09912409,0.0644306585,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-660.36009999999998854,-587.7480000000000473,-648.5782180290824499,-19660.201189202340174,-19503.39765976349372,-19634.758588362095907
0.03284536,0.05154835,0.0335064275,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-411.90589999999997417,-379.46570000000002665,-406.64222345693127636,-12301.749672855517929,-12243.01482282944562,-12292.219483388655135
0.03298119,0.04346481,0.028252126500000002,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-352.49959999999998672,-326.10239999999998872,-348.2164475396978105,-10487.05689573800737,-10449.055214492824234,-10480.890825301712539
0.03301489,0.09280277,0.06032180050000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-646.6425000000000409,-590.2417000000000371,-637.4910284316894149,-19194.070436192429042,-19090.16623535420149,-19177.211165760108997
0.03323044,0.08687267,0.056467235500000004,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-624.06979999999998654,-575.5466000000000122,-616.1965307342546794,-18429.285701199743926,-18353.822564425667224,-18417.041216181027266
0.03334466,0.04551242,0.029583072999999998,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-373.89220000000000255,-347.77569999999997208,-369.65459331332561987,-11012.285808364234981,-10975.926047842640401,-11006.386152425950058
0.03338418,0.1130689,0.073494785,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-722.3492999999999711,-636.676900000000046,-708.44828205718829395,-21107.773013849360723,-20930.079689821854117,-21078.940880214438948
0.03340607,0.08130191,0.0528462415,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-591.1346999999999525,-539.467200000000048,-582.75124343102061175,-17339.776084874323715,-17255.290498510432371,-17326.067636739877344
0.03342904,0.03679435,0.023916327500000004,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-296.17509999999998627,-264.498299999999972,-291.0352910863841771,-8650.434338339255191,-8591.723803299926658,-8640.9080941694428475
0.03346453,0.1058687,0.068814655,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-692.3383999999999787,-606.32770000000004984,-678.3824902323992774,-20166.204593463124183,-19978.338893369138532,-20135.721912134649756
0.0334907,0.2421193,0.157377545,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1126.4819999999999709,-1009.50699999999994816,-1107.5018900245538589,-32887.09230191079405,-32660.110748856171995,-32850.262767058266036
0.03351721,0.124796,0.0811174,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-791.73299999999994725,-721.00909999999998945,-780.2574932687116416,-23144.570681282151781,-23022.712105561720819,-23124.7981728946761
0.03378762,0.2187494,0.14218711,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1084.5789999999999509,-977.01530000000002474,-1067.125947165070329,-31408.792532524254057,-31205.744822245724208,-31375.846451127807086
0.03452209,0.05561963,0.036152759500000006,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-455.78800000000001091,-413.35950000000002547,-448.9036435469697608,-12929.5350989439029945,-12845.714469235617798,-12915.934545235208134
0.03011726,0.01355509,0.008946359400000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-87.04192000000000462,-81.82895000000000607,-86.19607478607650819,-2823.2904013735392255,-2805.9254856684469814,-2820.4728077869008303
0.03011844,0.01706479,0.0112627614,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-117.23390000000000555,-106.581800000000001205,-115.50551334071855081,-3795.404311019108718,-3761.0696740515486454,-3789.8332472395718469
0.03011961,0.008552686,0.005644772760000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-43.926810000000003242,-42.888410000000000366,-43.7583214665654765,-1416.1427343781201671,-1412.4828011053884893,-1415.5488815376049843
0.03015182,0.00679364,0.0044838024,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-30.341509999999999536,-29.900919999999999277,-30.270020821508168751,-967.8188128609277783,-966.2230706924211745,-967.55989119518108055
0.03019154,0.1261129,0.08323451400000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-725.5905999999999949,-654.46550000000002,-714.04999542624841524,-23505.345442755864497,-23361.166995593801403,-23481.951360403010767
